Epoch Loss Val_Loss LR
459 5.396e+00 6.397e+00 6.250e-05
460 5.401e+00 6.462e+00 6.250e-05
461 5.377e+00 6.447e+00 6.250e-05
462 5.365e+00 6.389e+00 6.250e-05
463 5.382e+00 6.433e+00 6.250e-05
464 5.391e+00 6.455e+00 6.250e-05
465 5.377e+00 6.964e+00 6.250e-05
466 5.371e+00 6.479e+00 6.250e-05
467 5.359e+00 6.417e+00 6.250e-05
468 5.372e+00 6.455e+00 6.250e-05
469 5.397e+00 6.404e+00 6.250e-05
470 5.368e+00 6.535e+00 6.250e-05
471 5.373e+00 6.640e+00 6.250e-05
472 5.380e+00 6.501e+00 6.250e-05
473 5.377e+00 6.389e+00 6.250e-05
474 5.371e+00 6.547e+00 6.250e-05
475 5.349e+00 6.361e+00 6.250e-05
476 5.365e+00 6.430e+00 6.250e-05
477 5.352e+00 6.459e+00 6.250e-05
478 5.344e+00 6.641e+00 6.250e-05
479 5.356e+00 6.386e+00 6.250e-05
480 5.357e+00 6.437e+00 6.250e-05
481 5.383e+00 6.633e+00 6.250e-05
482 5.359e+00 6.454e+00 6.250e-05
483 5.358e+00 6.409e+00 6.250e-05
484 5.355e+00 6.375e+00 6.250e-05
485 5.378e+00 6.375e+00 6.250e-05
486 5.374e+00 6.393e+00 6.250e-05
487 5.336e+00 6.403e+00 6.250e-05
488 5.350e+00 6.378e+00 6.250e-05
489 5.361e+00 6.361e+00 6.250e-05
490 5.349e+00 6.402e+00 6.250e-05
491 5.341e+00 6.391e+00 6.250e-05
492 5.349e+00 6.564e+00 6.250e-05
493 5.340e+00 6.422e+00 6.250e-05
494 5.341e+00 6.918e+00 6.250e-05
495 5.351e+00 6.404e+00 6.250e-05
496 5.332e+00 6.431e+00 6.250e-05
497 5.346e+00 6.465e+00 6.250e-05
498 5.336e+00 6.406e+00 6.250e-05
499 5.341e+00 6.891e+00 6.250e-05
